-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: Latitude  -3.3635   Longitude -39.8285 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 127.41 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M         MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN     MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS10M,2015,5.23,4.34,3.19,3.13,3.77,4.22,4.89,5.87,6.47,6.85,6.33,6.0,5.03
WS10M,2016,4.05,3.78,3.79,3.54,3.69,4.32,5.0,5.74,6.25,6.77,6.88,5.65,4.96
WS10M,2017,4.6,3.77,2.89,3.05,3.34,4.19,4.81,5.82,6.79,7.15,6.52,5.55,4.88
WS10M,2018,4.54,3.22,3.42,2.75,3.16,4.2,4.86,5.65,6.64,6.46,6.65,4.15,4.65
WS10M,2019,3.89,3.05,2.68,2.58,3.17,3.68,4.25,5.31,6.33,6.52,6.31,5.78,4.47
WS10M,2020,3.68,3.01,2.53,2.37,3.05,3.56,4.26,5.36,6.15,6.25,5.96,5.99,4.35
WS10M,2021,4.63,4.17,3.19,3.2,3.07,3.29,4.21,5.42,6.08,6.03,5.64,5.59,4.55
WS10M,2022,3.75,3.94,3.02,2.71,3.02,3.31,4.21,4.78,5.83,6.48,5.26,5.4,4.31
WS10M,2023,4.33,3.53,2.87,2.54,3.3,3.94,4.84,5.29,6.43,6.35,6.11,5.31,4.58
WS10M,2024,4.46,3.95,2.75,2.49,3.16,3.85,4.65,5.47,6.36,6.34,6.39,5.55,4.62
WS10M,2025,4.08,3.64,3.03,2.84,3.55,4.22,4.46,5.39,6.55,7.05,6.42,5.73,4.75
WS10M_MAX,2015,8.66,8.36,6.84,6.54,7.21,8.56,9.04,9.64,8.73,9.66,8.92,9.8,9.8
WS10M_MAX,2016,7.89,7.65,7.45,7.88,6.59,8.56,9.43,8.92,8.91,9.78,9.57,8.56,9.78
WS10M_MAX,2017,8.02,7.46,6.41,6.79,7.2,8.29,9.35,8.84,10.34,9.82,9.11,8.95,10.34
WS10M_MAX,2018,8.26,7.52,6.85,7.09,7.74,8.42,9.05,8.76,9.35,8.96,9.15,7.94,9.35
WS10M_MAX,2019,8.06,6.94,6.65,5.74,6.62,7.82,8.55,9.16,9.03,9.69,8.79,8.8,9.69
WS10M_MAX,2020,7.25,6.33,5.9,6.3,7.16,8.49,8.68,9.26,9.15,8.73,8.75,8.93,9.26
WS10M_MAX,2021,8.16,7.89,6.77,7.35,7.21,6.79,8.69,9.44,8.91,8.88,8.61,8.51,9.44
WS10M_MAX,2022,7.04,7.1,6.43,6.19,7.44,7.42,8.14,8.78,9.62,9.39,8.3,8.62,9.62
WS10M_MAX,2023,7.69,7.79,7.03,7.16,7.48,8.31,9.37,8.85,9.2,9.37,9.3,9.24,9.37
WS10M_MAX,2024,7.8,8.31,6.03,5.58,6.68,7.63,9.13,9.37,9.22,9.32,9.29,9.01,9.37
WS10M_MAX,2025,8.19,7.18,6.46,6.31,8.02,7.94,8.69,9.98,10.06,10.31,9.08,8.95,10.31
WS10M_MIN,2015,1.8,0.27,0.33,1.33,1.85,1.82,1.53,2.22,3.62,3.42,3.2,1.8,0.27
WS10M_MIN,2016,1.56,1.35,0.58,0.78,1.7,1.93,1.68,2.28,2.84,2.23,3.74,1.42,0.58
WS10M_MIN,2017,1.51,0.36,0.87,0.45,0.86,1.53,1.65,2.18,2.93,3.46,2.99,2.45,0.36
WS10M_MIN,2018,1.35,0.46,1.02,0.16,0.58,1.96,1.93,2.81,3.24,2.69,2.75,0.26,0.16
WS10M_MIN,2019,1.41,1.15,0.46,0.3,0.93,1.47,2.05,2.16,3.27,2.45,2.95,1.61,0.3
WS10M_MIN,2020,1.47,0.4,0.21,0.19,0.79,0.66,0.57,1.63,2.83,1.99,1.9,2.83,0.19
WS10M_MIN,2021,1.4,0.86,0.29,0.27,0.7,0.4,1.48,1.09,3.03,2.62,2.32,1.41,0.27
WS10M_MIN,2022,1.29,1.44,0.09,0.58,0.33,0.83,1.56,2.3,2.82,2.7,1.46,0.97,0.09
WS10M_MIN,2023,1.31,0.74,0.14,0.15,1.13,0.98,1.82,2.2,3.48,3.4,2.58,2.05,0.14
WS10M_MIN,2024,1.36,0.26,0.33,0.07,1.25,1.77,1.76,1.95,2.45,2.23,2.07,0.9,0.07
WS10M_MIN,2025,0.28,1.26,0.23,1.31,1.36,1.76,2.05,1.63,3.59,4.02,2.54,1.38,0.23
