-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 08/14/2025 through 08/14/2025 in LST
Location: Latitude  -3.5629   Longitude -38.7874 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 21.44 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,WS10M,WS50M
2025,8,14,0,8.39,10.65
2025,8,14,1,8.28,10.56
2025,8,14,2,8.02,10.28
2025,8,14,3,7.72,9.93
2025,8,14,4,7.43,9.6
2025,8,14,5,7.34,9.42
2025,8,14,6,7.87,9.33
2025,8,14,7,8.49,9.86
2025,8,14,8,8.44,9.68
2025,8,14,9,8.3,9.48
2025,8,14,10,8.17,9.34
2025,8,14,11,8.07,9.23
2025,8,14,12,7.99,9.14
2025,8,14,13,7.99,9.08
2025,8,14,14,8.09,9.13
2025,8,14,15,8.11,9.17
2025,8,14,16,7.91,9.03
2025,8,14,17,7.21,8.56
2025,8,14,18,6.7,8.28
2025,8,14,19,6.69,8.32
2025,8,14,20,6.58,8.25
2025,8,14,21,6.62,8.43
2025,8,14,22,6.71,8.52
2025,8,14,23,6.62,8.36
