-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: Latitude  -3.4101   Longitude -39.0302 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 21.44 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M         MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN     MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS10M,2015,6.65,5.78,4.7,4.64,6.03,6.48,7.28,8.24,8.13,8.17,7.19,7.0,6.7
WS10M,2016,5.11,5.45,5.4,5.62,5.66,6.64,7.53,7.88,8.03,8.19,8.06,6.88,6.71
WS10M,2017,6.06,5.31,4.11,4.61,5.17,6.5,7.26,7.89,8.88,8.42,7.56,6.75,6.55
WS10M,2018,5.68,4.26,4.81,4.1,4.89,6.46,7.15,7.5,8.26,7.56,7.8,5.67,6.19
WS10M,2019,5.34,4.2,3.7,3.73,5.26,6.07,6.54,7.75,8.06,7.79,7.29,6.79,6.06
WS10M,2020,4.92,4.12,3.52,3.86,4.98,5.82,6.61,7.69,7.86,7.17,7.19,7.19,5.92
WS10M,2021,6.17,5.34,4.57,4.92,4.94,5.33,6.48,7.69,7.67,7.3,6.77,6.86,6.18
WS10M,2022,5.11,5.5,4.08,4.02,4.9,5.21,6.62,7.23,7.56,7.79,6.29,6.58,5.91
WS10M,2023,5.63,5.06,4.18,3.74,5.18,6.15,7.06,7.2,7.97,7.56,7.0,6.4,6.1
WS10M,2024,5.46,4.94,3.82,3.56,5.29,6.22,7.01,7.74,8.35,7.62,7.38,6.59,6.17
WS10M,2025,5.12,5.08,4.5,4.17,5.76,6.41,6.95,7.51,8.37,8.54,7.47,6.87,6.4
WS10M_MAX,2015,9.62,9.21,8.12,8.13,8.51,9.56,9.91,10.62,10.35,10.18,9.81,9.78,10.62
WS10M_MAX,2016,7.93,8.18,8.01,9.82,8.57,9.58,10.87,10.37,10.37,11.19,10.36,9.15,11.19
WS10M_MAX,2017,9.42,8.08,6.99,7.76,8.4,9.39,10.36,10.17,11.43,10.45,9.67,9.18,11.43
WS10M_MAX,2018,9.64,8.39,8.33,8.57,8.64,9.47,10.34,9.81,10.53,9.55,9.86,9.0,10.53
WS10M_MAX,2019,8.61,7.51,6.69,6.47,9.28,9.91,9.33,10.58,10.05,10.49,9.86,9.88,10.58
WS10M_MAX,2020,7.71,6.87,5.81,7.34,8.49,9.71,9.54,10.49,9.86,9.35,9.91,9.67,10.49
WS10M_MAX,2021,8.1,9.0,7.28,9.24,8.75,8.13,9.58,10.22,9.62,9.19,8.99,9.0,10.22
WS10M_MAX,2022,7.72,7.84,7.73,7.52,8.89,9.56,9.45,9.98,10.42,10.18,8.35,9.24,10.42
WS10M_MAX,2023,7.85,8.59,8.62,8.18,8.51,9.64,10.6,9.92,10.79,10.14,10.03,9.32,10.79
WS10M_MAX,2024,8.27,9.41,6.86,7.0,8.6,8.75,10.53,10.18,10.31,10.2,10.01,8.94,10.53
WS10M_MAX,2025,7.97,8.15,7.79,7.51,9.24,9.3,10.33,10.92,10.52,11.02,10.0,8.77,11.02
WS10M_MIN,2015,3.62,1.57,0.32,1.66,3.88,4.05,3.36,5.92,6.68,5.55,4.81,3.77,0.32
WS10M_MIN,2016,2.52,2.06,3.35,0.33,3.18,3.91,4.8,5.7,5.25,3.93,5.81,2.99,0.33
WS10M_MIN,2017,3.33,0.99,0.16,0.6,1.4,3.42,3.27,5.7,6.8,5.39,5.49,3.94,0.16
WS10M_MIN,2018,3.54,0.2,1.51,0.38,0.59,3.76,3.88,5.0,5.67,4.21,4.41,2.15,0.2
WS10M_MIN,2019,2.52,1.27,0.59,1.29,2.29,2.16,3.6,5.9,5.82,3.73,4.48,2.54,0.59
WS10M_MIN,2020,2.39,0.27,0.39,0.5,1.56,0.83,3.95,5.0,5.7,3.95,4.25,5.28,0.27
WS10M_MIN,2021,4.1,0.23,0.19,1.55,0.92,1.32,3.56,4.03,5.25,4.55,4.18,3.26,0.19
WS10M_MIN,2022,2.31,2.19,1.2,0.21,1.11,0.81,4.13,4.66,5.9,5.19,2.49,3.63,0.21
WS10M_MIN,2023,2.94,1.33,0.3,0.33,2.34,3.71,4.02,3.98,5.58,4.95,4.4,3.25,0.3
WS10M_MIN,2024,2.07,0.18,0.24,0.06,3.27,3.71,4.05,5.6,6.07,3.95,3.95,3.38,0.06
WS10M_MIN,2025,1.21,2.29,0.47,1.74,3.08,3.5,3.92,3.98,6.53,5.75,4.0,3.99,0.47
