-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2005 through 12/31/2025 in LST
Location: Latitude  -3.5629   Longitude -38.7874 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 21.44 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS10M,2005,5.93,5.75,5.02,5.7,5.74,6.09,7.22,8.03,8.02,8.21,7.72,7.12,6.72
WS10M,2006,7.03,4.95,4.81,3.83,4.73,6.26,6.52,7.26,7.84,7.75,7.43,6.59,6.26
WS10M,2007,6.27,4.82,5.28,4.59,5.53,6.4,7.07,8.31,8.67,8.36,7.61,6.97,6.67
WS10M,2008,5.71,5.32,3.56,4.13,4.67,5.64,6.79,7.19,7.97,8.41,7.52,6.8,6.15
WS10M,2009,5.7,5.12,4.15,3.43,3.47,5.03,5.97,6.86,7.57,7.04,7.82,6.69,5.74
WS10M,2010,5.78,6.29,5.23,5.16,5.24,6.06,7.19,8.23,8.7,6.92,7.48,6.23,6.54
WS10M,2011,4.97,4.92,4.2,3.82,4.96,5.5,6.3,7.25,8.25,7.33,7.54,7.43,6.05
WS10M,2012,6.7,5.79,5.54,5.56,6.49,6.46,7.62,8.46,8.31,8.45,7.04,7.04,6.96
WS10M,2013,6.21,6.66,5.98,4.88,5.53,5.75,6.34,7.75,8.3,8.12,7.74,7.0,6.69
WS10M,2014,6.57,5.96,5.44,4.63,4.64,6.45,7.29,8.14,8.01,8.46,7.39,7.33,6.7
WS10M,2015,6.65,5.78,4.7,4.64,6.03,6.48,7.28,8.24,8.13,8.17,7.19,7.0,6.7
WS10M,2016,5.11,5.45,5.4,5.62,5.66,6.64,7.53,7.88,8.03,8.19,8.06,6.88,6.71
WS10M,2017,6.06,5.31,4.11,4.61,5.17,6.5,7.26,7.89,8.88,8.42,7.56,6.75,6.55
WS10M,2018,5.68,4.26,4.81,4.1,4.89,6.46,7.15,7.5,8.26,7.56,7.8,5.67,6.19
WS10M,2019,5.34,4.2,3.7,3.73,5.26,6.07,6.54,7.75,8.06,7.79,7.29,6.79,6.06
WS10M,2020,4.92,4.12,3.52,3.86,4.98,5.82,6.61,7.69,7.86,7.17,7.19,7.19,5.92
WS10M,2021,6.17,5.34,4.57,4.92,4.94,5.33,6.48,7.69,7.67,7.3,6.77,6.86,6.18
WS10M,2022,5.11,5.5,4.08,4.02,4.9,5.21,6.62,7.23,7.56,7.79,6.29,6.58,5.91
WS10M,2023,5.63,5.06,4.18,3.74,5.18,6.15,7.06,7.2,7.97,7.56,7.0,6.4,6.1
WS10M,2024,5.46,4.94,3.82,3.56,5.29,6.22,7.01,7.74,8.35,7.62,7.38,6.59,6.17
WS10M,2025,5.12,5.08,4.5,4.17,5.76,6.41,6.95,7.51,8.37,8.54,7.47,6.87,6.4
