-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: Latitude  -4.2238   Longitude -38.7305 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 138.15 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M         MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN     MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS10M,2015,4.43,3.79,2.91,2.78,3.49,3.84,4.28,5.0,5.47,5.81,5.25,4.97,4.34
WS10M,2016,3.5,3.49,3.4,3.27,3.25,3.84,4.48,5.07,5.43,5.82,5.81,4.82,4.35
WS10M,2017,4.12,3.44,2.61,2.73,3.0,3.74,4.38,4.91,5.95,6.01,5.4,4.77,4.26
WS10M,2018,3.81,2.89,2.98,2.51,2.88,3.63,4.15,4.62,5.67,5.41,5.67,3.88,4.01
WS10M,2019,3.5,2.73,2.37,2.33,2.99,3.39,3.8,4.73,5.46,5.59,5.33,4.87,3.93
WS10M,2020,3.36,2.67,2.3,2.36,2.9,3.39,3.86,4.79,5.31,5.22,5.16,5.05,3.87
WS10M,2021,4.04,3.49,2.85,2.9,2.89,3.03,3.81,4.82,5.23,5.21,4.91,4.9,4.01
WS10M,2022,3.37,3.47,2.58,2.48,2.87,3.1,3.89,4.35,5.07,5.53,4.41,4.65,3.82
WS10M,2023,3.85,3.17,2.63,2.28,3.01,3.59,4.22,4.64,5.46,5.36,5.1,4.31,3.97
WS10M,2024,3.76,3.29,2.43,2.23,3.05,3.52,4.11,4.87,5.63,5.42,5.36,4.66,4.03
WS10M,2025,3.56,3.34,2.75,2.6,3.36,3.78,4.08,4.67,5.64,6.03,5.4,4.92,4.18
WS10M_MAX,2015,7.33,6.69,5.9,5.66,5.76,6.93,7.27,7.84,7.29,7.93,7.59,8.11,8.11
WS10M_MAX,2016,6.22,5.9,5.7,6.43,5.75,7.12,8.2,7.68,7.62,8.48,8.04,7.13,8.48
WS10M_MAX,2017,6.85,6.18,4.94,5.8,5.85,6.73,7.71,7.22,8.68,8.27,7.53,7.4,8.68
WS10M_MAX,2018,7.2,6.38,5.83,5.36,6.26,6.63,7.21,7.26,7.82,7.28,7.79,7.03,7.82
WS10M_MAX,2019,7.08,5.6,4.86,4.73,6.38,6.62,6.67,8.03,7.59,8.06,7.66,7.73,8.06
WS10M_MAX,2020,6.07,5.19,4.74,5.18,6.01,7.02,6.85,7.64,7.33,7.21,7.71,7.61,7.71
WS10M_MAX,2021,6.71,6.81,5.5,6.43,5.98,5.56,7.05,7.8,7.25,7.34,7.1,7.28,7.8
WS10M_MAX,2022,5.97,5.88,5.72,5.18,6.41,6.56,6.71,7.36,7.81,8.05,6.9,7.16,8.05
WS10M_MAX,2023,6.56,6.2,6.25,5.75,5.96,6.96,7.77,7.35,8.05,7.77,7.72,7.22,8.05
WS10M_MAX,2024,6.11,6.79,4.69,4.87,6.18,6.06,7.66,7.63,7.78,7.87,7.68,7.34,7.87
WS10M_MAX,2025,6.52,6.0,5.69,5.13,6.53,6.67,7.5,7.98,8.03,8.69,7.64,7.12,8.69
WS10M_MIN,2015,1.97,0.57,0.27,1.19,2.03,1.82,1.8,2.55,3.48,3.02,2.79,1.82,0.27
WS10M_MIN,2016,1.58,0.97,1.59,0.36,1.69,2.1,2.09,3.06,2.94,1.99,3.45,1.87,0.36
WS10M_MIN,2017,1.79,0.42,0.49,0.22,0.24,1.75,1.83,2.61,3.33,3.52,3.08,2.35,0.22
WS10M_MIN,2018,1.79,0.37,0.9,0.12,0.05,1.81,2.0,2.63,3.43,2.57,2.4,1.15,0.05
WS10M_MIN,2019,1.42,1.01,0.23,0.5,1.53,1.18,2.06,2.48,3.57,2.32,2.77,1.65,0.23
WS10M_MIN,2020,1.52,0.16,0.31,0.27,1.1,1.19,2.05,2.43,2.64,2.1,2.35,2.93,0.16
WS10M_MIN,2021,1.76,0.62,0.44,0.98,0.43,0.41,1.74,1.9,2.86,2.5,2.6,1.93,0.41
WS10M_MIN,2022,1.44,1.54,0.87,0.21,0.36,1.15,1.97,2.27,3.07,2.97,1.22,1.63,0.21
WS10M_MIN,2023,1.67,0.58,0.48,0.15,1.35,1.62,1.94,2.09,3.21,3.02,2.55,1.95,0.15
WS10M_MIN,2024,1.4,0.36,0.17,0.33,1.43,1.75,2.08,2.49,2.94,2.41,2.15,1.66,0.17
WS10M_MIN,2025,0.5,1.59,0.24,1.4,1.71,1.87,1.87,2.11,3.29,3.19,2.26,1.67,0.24
