Name,AH 79-100 A AIRFOIL
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.000000
99.893000,0.038000
99.572000,0.076000
99.039000,0.202000
98.296000,0.373000
97.347000,0.574000
96.194000,0.815000
94.844000,1.094000
93.301000,1.408000
91.573000,1.757000
89.668000,2.135000
87.592010,2.540000
85.355000,2.966000
82.967000,3.413000
80.438010,3.874000
77.779000,4.343000
75.000000,4.808000
72.114000,5.261000
69.134000,5.695000
66.072000,6.104000
62.941000,6.481000
59.755000,6.825000
56.526000,7.130000
53.270000,7.397000
50.000000,7.625000
46.730000,7.815000
43.474000,7.952000
40.245000,8.038000
37.059000,8.065000
33.928000,8.039000
30.866000,7.951000
27.886000,7.811000
25.000000,7.609000
22.221000,7.356000
19.562000,7.045000
17.033000,6.689000
14.645000,6.281000
12.408000,5.837000
10.332000,5.356000
8.427000,4.850000
6.699000,4.312000
5.156000,3.752000
3.806000,3.177000
2.653000,2.599000
1.704000,2.021000
0.961000,1.459000
0.428000,0.945000
0.107000,0.482000
0.000000,0.000000
0.107000,-0.367000
0.428000,-0.716000
0.961000,-1.043000
1.704000,-1.324000
2.653000,-1.581000
3.806000,-1.800000
5.156000,-1.995000
6.699000,-2.156000
8.427000,-2.291000
10.332000,-2.396000
12.408000,-2.473000
14.645000,-2.512000
17.033000,-2.522000
19.562000,-2.491000
22.221000,-2.431000
25.000000,-2.326000
27.886000,-2.189000
30.866000,-2.008000
33.928000,-1.794000
37.059000,-1.544000
40.245000,-1.273000
43.474000,-0.982000
46.730000,-0.689000
50.000000,-0.394000
53.270000,-0.111000
56.526000,0.160000
59.755000,0.402000
62.941000,0.614000
66.072000,0.785000
69.134000,0.920000
72.114000,1.019000
75.000000,1.083000
77.779000,1.113000
80.438010,1.110000
82.967000,1.074000
85.355000,1.013000
87.592010,0.928000
89.668000,0.827000
91.573000,0.713000
93.301000,0.593000
94.844000,0.470000
96.194000,0.350000
97.347000,0.236000
98.296000,0.137000
99.039000,0.068000
99.572000,0.016000
99.893000,0.008000
100.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.107000,0.057500
0.428000,0.114500
0.961000,0.208000
1.704000,0.348500
2.653000,0.509000
3.806000,0.688500
5.156000,0.878500
6.699000,1.078000
8.427000,1.279500
10.332000,1.480000
12.408000,1.682000
14.645000,1.884500
17.033000,2.083500
19.562000,2.277000
22.221000,2.462500
25.000000,2.641500
27.886000,2.811000
30.866000,2.971500
33.928000,3.122500
37.059000,3.260500
40.245000,3.382500
43.474000,3.485000
46.730000,3.563000
50.000000,3.615500
53.270000,3.643000
56.526000,3.645000
59.755000,3.613500
62.941000,3.547500
66.072000,3.444500
69.134000,3.307500
72.114000,3.140000
75.000000,2.945500
77.779000,2.728000
80.438010,2.492000
82.967000,2.243500
85.355000,1.989500
87.592010,1.734000
89.668000,1.481000
91.573000,1.235000
93.301000,1.000500
94.844000,0.782000
96.194000,0.582500
97.347000,0.405000
98.296000,0.255000
99.039000,0.135000
99.572000,0.046000
99.893000,0.023000
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
